Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1000,196,867,31,45,9999,0,1500,0,3622,6487,2,2,1171,441,1353,1,0,60,60,78,0,0,0,52,0,1824,1920,3372,1156,0,23,68,69,69,59,5,11,23,13,29,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,28,13,1,100,0,0,1,17,38,0,0,100,0,0,0,0,121
2000,196,867,31,45,9999,0,1500,0,3622,6074,2,2,1171,441,1353,1,0,60,60,79,0,0,0,52,0,1824,1920,3372,1156,0,23,68,69,69,59,5,11,23,13,29,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,2,99,1,0,6,34,43,0,0,100,0,0,0,0,121
3000,196,867,31,45,9999,0,1290,0,3622,4672,2,2,1171,441,1353,1,0,44,60,81,0,0,22,150,0,1824,1920,3237,1108,0,10,60,50,31,54,5,10,10,0,28,0,0,7205,892,0,861,1,862,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,30,23,1,100,0,0,1,17,38,0,0,100,0,0,0,0,121
4000,196,867,31,45,9999,0,1500,0,3622,5498,2,2,1171,441,1353,1,0,60,60,84,0,0,0,72,0,1824,1920,3269,1102,0,25,50,43,42,37,10,25,19,0,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
5001,196,867,31,45,9999,0,1500,0,3619,5544,2,2,1171,441,1555,1,0,60,60,82,0,0,0,25,0,1824,1920,3280,1103,0,10,70,52,63,60,10,5,5,75,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,17,38,0,0,100,0,0,0,0,121
6000,196,867,31,45,9999,0,1500,0,3619,6065,2,2,1171,441,1353,1,0,60,60,82,0,0,0,46,0,1824,1920,3317,1082,0,10,61,38,47,38,10,0,10,5,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
7000,196,867,31,45,9999,0,1500,0,3619,5616,2,2,1171,441,1353,1,0,60,60,82,0,0,0,29,0,1824,1920,3152,1124,0,19,72,62,73,73,5,19,19,0,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
8000,196,867,31,45,9999,0,1500,0,3619,5808,2,2,1171,441,1353,1,0,60,60,81,0,0,0,53,0,1824,1920,3157,1137,0,10,60,36,47,37,10,10,5,10,29,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
9003,196,867,31,45,9999,0,1500,0,3614,5688,2,2,1171,441,1353,1,0,60,60,80,0,0,0,54,0,1824,1920,3119,1130,0,25,89,86,85,94,0,11,25,10,28,0,0,7205,892,0,861,1,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,30,23,1,100,0,0,1,18,38,0,0,100,0,0,0,0,121
10003,196,867,31,45,9999,0,1500,0,3614,6848,2,2,1171,441,1804,1,0,58,60,82,2,0,3,29,0,1824,1920,3084,1056,0,25,76,77,69,82,16,25,21,11,26,0,0,7205,892,0,861,1,862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,30,23,1,100,0,0,1,17,38,0,0,100,0,0,0,0,121
